Run,LH,PS,ID,RW,WT,Cost,Time,Quality,aLH,aPS,aID,aRW,aWT
1,-1,-1,-1,-1,1,0.51,8746,1,0.16,50,0.25,0.4,0.8
2,1,-1,-1,-1,-1,0.504,17946,1,0.28,50,0.25,0.4,1.2
3,-1,1,-1,-1,-1,0.54,14449.6,1,0.16,60,0.25,0.4,1.2
4,1,1,-1,-1,1,0.51,10178.6,1,0.28,60,0.25,0.4,0.8
5,-1,-1,1,-1,-1,0.54,14987.2,1,0.16,50,0.15,0.4,1.2
6,1,-1,1,-1,1,0.5,10362,1,0.28,50,0.15,0.4,0.8
7,-1,1,1,-1,1,0.5,16635.2,1,0.16,60,0.15,0.4,0.8
8,1,1,1,-1,-1,0.54,8838.6,1,0.28,60,0.15,0.4,1.2
9,-1,-1,-1,1,-1,0.54,15108.2,1,0.16,50,0.25,0.8,1.2
10,1,-1,-1,1,1,0.56,10623.4,1,0.28,50,0.25,0.8,0.8
11,-1,1,-1,1,1,0.56,16836.75,1,0.16,60,0.25,0.8,0.8
12,1,1,-1,1,-1,0.54,8598.2,1,0.28,60,0.25,0.8,1.2
13,-1,-1,1,1,1,0.54,17027.6,1,0.16,50,0.15,0.8,0.8
14,1,-1,1,1,-1,0.54,9687,1,0.28,50,0.15,0.8,1.2
15,-1,1,1,1,-1,0.54,14252.2,1,0.16,60,0.15,0.8,1.2
16,1,1,1,1,1,0.54,9394.6,1,0.28,60,0.15,0.8,0.8
17,0,0,0,0,0,0.52,11969.6,1,0.2,55,0.2,0.6,1
18,0,0,0,0,0,0.52,12000.4,1,0.2,55,0.2,0.6,1